No.,Time,Source,Destination,Protocol,Length,Info,DTMF.code,DTMF.end,DTMF.duration,RTP.timestamp
269,11:20:26.699181,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,720,184180741
270,11:20:26.699183,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,720,184180741
271,11:20:26.699184,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,720,184180741
273,11:20:26.718600,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,880,184180741
275,11:20:26.743319,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1040,184180741
277,11:20:26.758741,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1200,184180741
279,11:20:26.778579,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1360,184180741
281,11:20:26.798566,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1520,184180741
283,11:20:26.818589,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1680,184180741
285,11:20:26.838619,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1840,184180741
287,11:20:26.859681,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,2000,184180741
289,11:20:26.888627,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,2080,184180741
290,11:20:26.888630,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1 (end)",1,1,2084,184180741
291,11:20:26.888631,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1 (end)",1,1,2084,184180741
292,11:20:26.888632,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1 (end)",1,1,2084,184180741
321,11:20:27.218653,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,720,184185141
322,11:20:27.218654,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,720,184185141
323,11:20:27.218657,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,720,184185141
325,11:20:27.238849,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,880,184185141
327,11:20:27.258630,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1040,184185141
329,11:20:27.281731,24.249.131.157,38.102.250.80,RTP EVENT,60,"Payload type=RTP Event, DTMF One 1",1,0,1200,184185141
