Path	BuilderFileName	PackageName	GitTagName
ACD	build_qman.sh	gtt-qman	ACD_GITTAG
altdb	build_altdb.sh	gtt-altdb-pbx20180620v2	ALTDB_GITTAG
coast	build_coast.sh	gtt-coast-mserver	COAST_GITTAG
confdep	build_mapp.sh	gtt-mapp	CONFDEP_GITTAG
config/xbroker	build_xbroker.sh	gtt-xbroker	XBROKERMISC_GITTAG
db	build_db.sh	gtt-db-qman	DB_GITTAG
mapp	build_mapp.sh	gtt-mapp	MAPP_GITTAG
mediaframework/Codecs	build_mserver_opt.sh	gtt-mserver	CODECS_GITTAG
mediaframework/Hermes	build_mserver_opt.sh	gtt-mserver	HERMES_GITTAG
middle	build_middle.sh	gtt-middle_ng	MIDMISC_GITTAG
middle/middle_ng	build_middle.sh	gtt-middle_ng	MIDDLE_GITTAG
middle/sparser	build_proxy.sh	gtt-sipproxy	SPARSER_GITTAG
middle/stack_na/mserver	build_mserver_opt.sh	gtt-mserver	MSERVER_GITTAG
middle/stack_na/proxy_sb/config	build_proxy.sh	gtt-sipproxy	PROXYSBCFG_GITTAG
middle/stack_na/proxy/scripts	build_proxy.sh	gtt-sipproxy	APROXYSCRIPTS_GITTAG
middle/stack_opt	build_proxy.sh	gtt-sipproxy	SIPSTACK_GITTAG
middle/stack_opt/bbua	build_xbroker.sh	gtt-xbroker	XBROKER_GITTAG
middle/stack_opt/console	build_proxy.sh	gtt-sipproxy	CONSOLE_GITTAG
middle/stack_opt/mserver	build_mserver_opt.sh	gtt-mserver	MSERVER_GITTAG
middle/stack_opt/mserver/t38	build_mserver_opt.sh	gtt-mserver	T38_GITTAG
middle/stack_opt/non-platform-proxy	build_proxy.sh	gtt-sipproxy	SIPPROXY_GITTAG
middle/stack_opt/platform-proxy	build_proxy-pbx20180620v2.sh	gtt-sipproxy-pbx20180620v2	PLATFORM_SIPPROXY_GITTAG
middle/stack_opt/redir	build_redir.sh	gtt-redir	REDIR_GITTAG
middle/stack_opt/syncmwi	build_webapps.sh	gtt-webapps	SYNCMWI_GITTAG
middle/stack_opt/teleblock	build_teleblock.sh	gtt-teleblock	TBLOCK_GITTAG
middle/stack_opt/webphone	build_webapps.sh	gtt-webapps	WPHONE_GITTAG
middle/utils	build_libutils.sh	gtt-libutils	UTILS_GITTAG
monitoring/AcdMon	build_webapps.sh	gtt-webapps	ACDMON_GITTAG
monitoring/cfg	build_webapps.sh	gtt-webapps	MONITCFG_GITTAG
monitoring/CnfMon	build_webapps.sh	gtt-webapps	CNFMON_GITTAG
monitoring/DashMan	build_webapps.sh	gtt-webapps	DASHMAN_GITTAG
monitoring/EvService	build_evserver.sh	gtt-evserver	EVSRV_GITTAG
scripts/cdrs	build_index_cdrs.sh	gtt-index_cdrs	INDEXCDRS_GITTAG
scripts/utils	build_scriptutils.sh	gtt-scriptutils	SCRIPT_UTILS_GITTAG
tui	build_mapp.sh	gtt-mapp	TUI_GITTAG
updater	build_updater.sh	gtt-updater-mserver	UPDATER_GITTAG
voice_loader	build_voice_loader.sh	gtt-fileloader	VOICELOADER_GITTAG
